pdbid lenght accep_rate distr_time ensemble_time
3a1g 80 100.0% 49.447 410.761
3a1g 40 32.666666666666664% 41.16 732.899
3a1u 258 99.00990099009901% 65.944 972.571
3a2q 493 98.0392156862745% 128.414 2432.274
3a39 83 99.00990099009901% 48.254 406.161
3a3d 453 100.0% 87.699 1572.545
3a7l 128 99.00990099009901% 46.539 502.307
3aa6 244 99.00990099009901% 55.591 865.479
3agn 114 100.0% 55.485 521.500
3ajf 94 100.0% 49.549 441.607
3apa 141 99.00990099009901% 122.420 1414.815
3apr 325 99.00990099009901% 89.927 1392.893
3b49 211 99.00990099009901% 58.592 870.396
3b4q 94 100.0% 49.152 406.691
3b4w 495 99.00990099009901% 134.910 2779.136
3b9q 302 99.00990099009901% 99.879 1502.697
3bec 363 99.00990099009901% 80.398 1371.415
3bhg 459 100.0% 89.535 1846.559
3bjd 332 100.0% 63.546 1335.690
3bk5 237 100.0% 58.422 950.610
3bl9 301 100.0% 65.336 1270.289
3bn0 112 100.0% 44.533 497.461
3boe 210 100.0% 60.161 852.212
3bpj 80 100.0% 72.254 633.991
3bpt 363 98.0392156862745% 75.33 1362.417
3bqk 360 100.0% 157.674 3149.816
3bqp 80 100.0% 45.148 380.492
3bwu 125 100.0% 96.343 786.732
3bzl 83 99.00990099009901% 49.878 423.34
3bzn 431 98.0392156862745% 83.548 1883.496
3c05 62 99.00990099009901% 48.847 350.177
3c0f 91 100.0% 59.759 483.207
3c1q 123 99.00990099009901% 93.258 877.950
3c2q 345 100.0% 72.209 1232.540
3c8w 255 100.0% 156.541 2126.783
3c9p 123 100.0% 128.256 1225.30
3cjs 72 100.0% 45.819 350.927
3cla 213 100.0% 57.730 856.709
3crv 551 100.0% 149.455 3032.176
3cw3 96 100.0% 42.665 434.122
3cy4 154 100.0% 55.164 645.473
3cyi 110 100.0% 49.275 470.917
3czz 101 100.0% 50.925 427.409
3d1g 366 100.0% 80.289 1346.621
3d2q 70 100.0% 47.983 383.491
3d3y 425 99.00990099009901% 89.927 1651.547
3d4i 273 100.0% 97.870 1474.215
3d7a 138 100.0% 52.916 581.61
3da8 215 100.0% 56.381 758.254
3dai 130 100.0% 81.556 836.764
3dan 473 99.00990099009901% 94.707 1989.885
3dd6 255 100.0% 60.483 920.166
3dff 273 100.0% 65.666 1155.174
3dgp 71 100.0% 47.433 369.947
3dha 254 99.00990099009901% 62.203 924.531
3djl 541 98.0392156862745% 216.553 5956.239
3dnh 258 100.0% 102.489 1536.764
3do6 543 100.0% 112.959 2311.881
3dpg 338 98.0392156862745% 158.970 2032.351
3dso 74 100.0% 49.984 386.181
3dza 191 100.0% 159.486 1579.674
3e0z 109 100.0% 50.965 499.71
3e2d 502 100.0% 212.891 4690.447
3e4w 320 98.0392156862745% 61.1 1321.89
3e7h 103 100.0% 51.976 459.50
3e8t 220 100.0% 55.388 870.479
3e9v 120 99.00990099009901% 48.398 561.619
3ebh 889 100.0% 258.795 4890.306
3eh1 751 98.0392156862745% 208.106 4260.464
3ehg 128 99.00990099009901% 75.631 824.854
3emi 116 100.0% 48.28 491.30
3enu 114 100.0% 54.489 502.15
3eoj 366 98.0392156862745% 77.10 1586.98
3eqx 373 100.0% 79.550 1706.398
3eto 242 99.00990099009901% 60.703 893.127
3eye 168 100.0% 53.719 720.408
3ezu 342 100.0% 72.368 1218.717
3f0o 212 100.0% 85.41 1221.53
3f0p 212 100.0% 52.204 813.949
3f4m 161 100.0% 61.710 691.911
3f7w 288 99.00990099009901% 116.14 2094.346
3fbl 82 99.00990099009901% 50.877 410.908
3fcn 164 99.00990099009901% 54.332 674.87
3fh2 146 100.0% 52.636 568.121
3fhf 214 99.00990099009901% 63.230 902.476
3fkc 116 100.0% 45.312 512.913
3fke 129 100.0% 50.763 582.577
3fm2 135 100.0% 55.210 614.913
3fn2 106 99.00990099009901% 51.112 471.203
3fo8 283 100.0% 68.702 971.931
3fp5 106 100.0% 59.876 516.408
3fpn 119 100.0% 52.853 519.164
3fpu 100 100.0% 46.743 476.311
3frr 191 97.0873786407767% 58.885 788.963
3fyb 104 100.0% 45.637 499.979
3g06 622 99.00990099009901% 230.17 4290.652
3g0m 141 100.0% 51.549 598.512
3g28 77 98.0392156862745% 50.509 403.946
3g3s 249 100.0% 62.64 888.514
3g5k 183 100.0% 56.79 711.434
3g5t 299 100.0% 65.220 1221.989
3g98 111 100.0% 50.866 485.632
3ga3 133 100.0% 94.795 1006.713
3ghd 70 100.0% 47.539 354.908
3gkj 232 100.0% 71.764 1086.197
3gmv 156 100.0% 66.8 734.871
3gnu 213 99.00990099009901% 57.182 783.465
3gqh 163 100.0% 96.641 943.842
3gqv 371 100.0% 74.965 1496.738
3gs9 342 99.00990099009901% 74.760 1426.46
3gwi 170 100.0% 55.812 738.164
3h0n 188 100.0% 54.891 797.32
3h1d 405 99.00990099009901% 79.603 1895.920
3h1w 393 100.0% 152.744 2550.925
3h2d 155 100.0% 82.735 841.144
3h5q 436 99.00990099009901% 81.890 1574.510
3h8t 191 99.00990099009901% 61.64 835.568
3h93 192 100.0% 47.957 752.405
3hdj 313 99.00990099009901% 182.529 2434.476
3hfw 357 99.00990099009901% 119.910 2292.131
3hgl 85 100.0% 47.893 410.265
3hlz 269 100.0% 161.645 2364.957
3hms 101 100.0% 53.211 466.922
3ho6 267 100.0% 98.860 1462.262
3hol 509 98.0392156862745% 100.865 1964.252
3hvv 167 100.0% 59.227 633.99
3hxw 441 100.0% 87.447 2116.659
3i94 248 100.0% 58.492 1002.873
3ib5 348 98.0392156862745% 65.310 1220.604
3ic3 101 100.0% 55.518 472.487
3ig9 78 100.0% 49.574 386.731
3igz 561 99.00990099009901% 122.298 2731.820
3ii2 157 100.0% 52.844 688.770
3iiu 151 100.0% 52.455 570.2
3ijw 268 100.0% 84.840 1487.444
3ikw 374 100.0% 147.422 2312.706
3ilw 470 99.00990099009901% 91.711 1834.541
3im1 328 98.0392156862745% 64.642 1223.574
3im3 50 100.0% 45.839 316.413
3imk 158 100.0% 53.133 617.783
3ino 143 100.0% 52.714 604.974
3ip4 485 100.0% 99.835 1702.278
3ipf 71 100.0% 47.484 385.183
3ipj 95 99.00990099009901% 50.689 451.334
3it4 205 100.0% 55.196 661.646
3it4 199 100.0% 57.282 713.997
3jsy 213 100.0% 88.288 1070.390
3jsz 525 98.0392156862745% 107.314 2308.489
3jtz 88 100.0% 45.919 480.188
3ju3 118 100.0% 53.67 493.792
3ju4 670 100.0% 159.13 3706.110
3jub 153 100.0% 56.693 627.826
3jv1 182 99.00990099009901% 55.878 692.369
3jz9 197 100.0% 58.242 754.707
3k5j 183 100.0% 56.525 746.594
3ka5 65 99.00990099009901% 50.893 388.937
3kbb 216 100.0% 50.900 741.217
3kby 145 100.0% 52.57 620.531
3kd4 506 99.00990099009901% 199.467 4225.972
3kde 77 99.00990099009901% 93.448 721.274
3kef 326 99.00990099009901% 71.558 1267.124
3klr 125 100.0% 57.600 535.312
3kvd 242 99.00990099009901% 96.667 1328.11
3kz5 52 99.00990099009901% 70.717 529.13
3kz7 119 100.0% 52.771 503.637
3l1e 106 100.0% 51.790 518.220
3l2a 129 100.0% 50.741 530.630
3l32 45 95.23809523809523% 47.824 322.467
3l4h 109 100.0% 55.335 515.607
3l4p 907 100.0% 268.848 4998.489
3l51 166 100.0% 54.940 720.63
3l84 632 98.0392156862745% 161.870 4129.56
3l9a 88 100.0% 41.988 425.357
3lae 81 100.0% 61.257 433.43
3las 166 100.0% 121.556 1479.651
3lbl 95 100.0% 50.253 441.446
3ldu 385 100.0% 80.118 1556.507
3let 314 97.0873786407767% 108.764 1834.253
3lgb 194 100.0% 76.159 928.13
3lk7 451 98.0392156862745% 112.105 2022.444
3lkt 238 100.0% 61.879 908.599
3ll7 410 98.0392156862745% 81.900 1687.494
3lpc 340 98.0392156862745% 65.503 1280.231
3lpe 59 100.0% 76.239 519.215
3lq9 134 100.0% 51.923 520.503
3lti 296 98.0392156862745% 57.626 1085.14
3lur 158 100.0% 55.861 641.980
3luu 101 100.0% 49.647 471.50
3lvu 258 99.00990099009901% 63.685 878.488
3lwx 199 100.0% 58.183 713.969
3lx5 272 98.0392156862745% 56.43 1068.798
3lyf 245 100.0% 62.151 981.24
3lyy 107 100.0% 57.198 489.627
3m4r 222 99.00990099009901% 58.233 834.368
3m5q 357 100.0% 75.865 1238.905
3m66 270 100.0% 61.776 1057.454
3m6z 380 100.0% 70.853 1544.901
3m7a 140 100.0% 76.848 806.467
3m7d 380 100.0% 88.318 1753.456
3mcb 58 99.00990099009901% 46.80 328.108
3mfd 334 100.0% 90.661 1567.325
3mhs 96 100.0% 41.591 440.729
3mil 240 99.00990099009901% 55.132 992.691
3mm6 418 100.0% 158.391 2869.766
3mmh 167 100.0% 155.573 1565.579
3mmy 56 100.0% 40.394 321.13
3mol 184 99.00990099009901% 50.774 718.396
3mqz 215 100.0% 75.713 999.813
3msu 427 99.00990099009901% 88.649 1977.722
3msw 145 100.0% 57.566 618.681
3mwz 115 100.0% 78.24 733.735
3mx7 90 100.0% 50.519 450.956
3mxz 116 99.00990099009901% 79.869 772.576
3n4i 165 99.00990099009901% 116.185 1033.467
3n4j 165 100.0% 55.766 651.458
3nci 903 99.00990099009901% 300.430 4858.962
3ncl 241 99.00990099009901% 60.134 924.583
3ni2 536 100.0% 173.929 3633.691
3nis 82 98.0392156862745% 74.503 601.600
3nke 200 100.0% 51.707 724.928
3nl9 171 100.0% 58.665 674.56
3nqi 246 100.0% 77.218 970.615
3nr1 178 100.0% 56.842 735.79
3nrl 81 100.0% 48.581 431.323
3nrw 117 100.0% 50.257 586.514
3nuf 119 99.00990099009901% 52.463 528.826
3nyy 252 100.0% 60.311 994.657
3o04 413 100.0% 82.686 1486.485
3o0g 149 99.00990099009901% 53.794 635.152
3o3x 198 100.0% 59.277 746.130
3o6p 229 100.0% 79.193 944.182
3o79 105 100.0% 50.432 494.591
3obl 132 99.00990099009901% 46.928 504.183
3ofg 95 100.0% 84.801 693.95
3ohg 285 100.0% 65.42 1031.338
3oi8 156 100.0% 78.865 783.412
3ol3 107 100.0% 80.646 715.946
3omd 145 100.0% 53.885 620.722
3on9 163 99.00990099009901% 53.474 662.10
3onj 97 100.0% 51.820 452.958
3ooi 232 99.00990099009901% 56.808 912.744
3ot9 399 100.0% 77.219 1442.255
3ov5 85 100.0% 47.725 377.192
3owt 157 100.0% 52.210 620.719
3oxp 150 99.00990099009901% 53.411 606.247
3oyv 361 98.0392156862745% 72.996 1339.46
3p3g 300 100.0% 136.316 2604.183
3p4h 118 100.0% 83.822 787.468
3p5p 764 98.0392156862745% 184.968 4164.301
3pes 85 100.0% 49.486 408.825
3pf6 62 93.45794392523365% 62.15 429.323
3pkz 124 100.0% 47.318 510.403
3po8 100 100.0% 49.340 498.106
3pt1 471 100.0% 125.510 3031.525
3pvh 153 100.0% 53.175 596.927
3pzw 839 100.0% 312.928 8121.137
3q0i 318 100.0% 74.149 1200.670
3q1c 360 100.0% 69.891 1346.977
3q1n 294 97.0873786407767% 67.554 1203.273
3qc5 360 100.0% 67.639 1196.847
3qc7 179 100.0% 55.612 665.636
3qfl 115 100.0% 81.601 748.163
3qra 157 100.0% 53.554 585.370
3rjs 89 100.0% 139.432 1060.544
3rkg 261 100.0% 99.689 1355.138
3rlk 192 100.0% 48.484 760.919
3rmq 116 99.00990099009901% 45.341 514.474
3rt4 171 100.0% 53.451 662.745
3rv1 246 100.0% 65.505 863.581
3rxy 278 100.0% 64.661 1005.151
3se9 353 98.0392156862745% 71.220 1430.429
3sfv 344 99.00990099009901% 63.205 1751.314
3shg 61 100.0% 47.90 335.115
3st1 214 99.00990099009901% 60.82 885.432
3t4r 81 99.00990099009901% 121.480 1046.397
3t7h 291 99.00990099009901% 63.979 1035.671
3t7z 119 100.0% 50.523 538.758
3t92 121 100.0% 91.89 780.631
3tbn 87 100.0% 57.636 463.61
3tgt 353 100.0% 71.948 1328.245
3ti2 228 100.0% 58.806 812.164
3tvj 38 16.333333333333332% 45.16 729.725
3twz 399 100.0% 83.269 1526.891
3txs 94 100.0% 49.289 445.450
3u5v 76 100.0% 49.479 442.4
3u9g 229 100.0% 68.189 950.882
3ueb 110 100.0% 52.340 513.737
3ush 129 100.0% 55.588 574.387
3v0r 133 100.0% 51.861 531.187
3v3l 85 93.45794392523365% 135.217 832.310
3v68 252 98.0392156862745% 55.864 933.220
3vc8 94 100.0% 69.713 562.534
3vej 41 31.333333333333336% 46.374 749.434
3vgp 164 100.0% 51.991 641.886
3vkw 446 97.0873786407767% 88.412 1921.500
3vnb 155 100.0% 57.847 665.321
3vor 182 100.0% 97.823 1071.285
3vth 761 98.0392156862745% 203.611 4085.828
3wa1 389 98.0392156862745% 79.471 1555.267
3wkx 669 99.00990099009901% 152.773 3437.854
3wol 698 99.00990099009901% 165.428 2864.912
3wur 171 100.0% 85.750 1058.369
3wvz 201 100.0% 76.50 848.119
3wwh 330 100.0% 102.712 1848.609
3wx4 100 100.0% 63.721 607.851
3x0g 93 100.0% 51.583 435.414
3zdm 72 100.0% 57.227 432.159
3zfn 148 99.00990099009901% 50.339 582.78
3zl8 437 98.0392156862745% 95.465 2052.663
3zoq 56 94.33962264150944% 40.236 354.946
3zr8 65 100.0% 48.605 353.102
3zrg 67 100.0% 47.663 364.762
3zzo 95 100.0% 48.451 421.212
4a1k 165 99.00990099009901% 84.17 896.67
4a3p 217 100.0% 56.714 804.639
4a56 93 100.0% 50.738 420.457
4adn 222 100.0% 60.924 907.445
4af1 416 100.0% 138.981 2685.52
4alz 198 100.0% 58.808 721.98
4aqr 57 100.0% 47.236 351.685
4ayg 1039 98.0392156862745% 357.534 6723.847
4b2f 214 100.0% 57.949 807.776
4b6i 102 100.0% 60.803 487.368
4bgp 236 100.0% 65.952 1013.421
4bt9 239 99.00990099009901% 58.147 894.249
4byz 194 100.0% 55.868 717.841
4cbe 218 99.00990099009901% 69.527 873.12
4cdp 354 100.0% 156.500 3594.17
4cfi 258 100.0% 63.815 833.165
4cjn 642 99.00990099009901% 140.863 2740.148
4csb 124 100.0% 100.831 932.241
4ct7 243 100.0% 58.828 877.946
4cv4 133 100.0% 52.45 532.383
4cv7 113 98.0392156862745% 51.227 499.124
4d71 596 99.00990099009901% 123.150 3238.453
4ddp 210 98.0392156862745% 59.92 835.275
4dja 518 100.0% 108.449 2654.500
4dlh 197 100.0% 59.750 881.679
4dok 208 99.00990099009901% 55.283 809.112
4dol 217 100.0% 57.540 709.562
4e1p 61 97.0873786407767% 46.590 371.469
4e5r 56 98.0392156862745% 40.558 332.886
4ea9 220 100.0% 53.920 723.265
4ebg 101 99.00990099009901% 120.662 1123.338
4ehx 315 100.0% 65.968 1124.528
4eo1 70 98.0392156862745% 47.288 363.10
4epi 330 100.0% 69.815 1158.738
4erv 207 99.00990099009901% 56.749 796.196
4ew5 102 100.0% 51.805 441.955
4exo 146 100.0% 52.598 594.37
4ezi 377 100.0% 76.264 1438.84
4f55 128 100.0% 64.145 610.316
4f87 72 100.0% 42.667 371.7
4f98 69 100.0% 47.561 377.684
4fc2 521 98.0392156862745% 105.218 2530.635
4fch 221 98.0392156862745% 66.755 937.89
4fhr 216 100.0% 112.787 1373.234
4ftf 112 100.0% 103.611 791.613
4g6d 198 100.0% 55.408 756.29
4g75 297 100.0% 68.338 1198.301
4geh 207 100.0% 56.921 764.741
4ghn 393 100.0% 76.452 1431.181
4gip 81 100.0% 48.233 389.74
4gk9 279 100.0% 88.648 1315.747
4gn0 105 100.0% 50.358 452.163
4goq 110 100.0% 51.462 471.363
4gsj 291 98.0392156862745% 96.635 1563.892
4gv2 357 99.00990099009901% 157.104 2580.846
4gvq 316 100.0% 63.939 984.224
4h4n 67 99.00990099009901% 52.693 378.153
4h9m 840 98.0392156862745% 223.219 4557.319
4h9n 212 100.0% 54.486 798.527
4hfq 203 100.0% 78.217 903.868
4hfv 190 99.00990099009901% 161.760 2017.104
4hwx 114 100.0% 50.331 486.553
4iaj 78 98.0392156862745% 49.804 412.580
4iu3 243 100.0% 69.893 818.289
4j4r 248 100.0% 67.861 1034.743
4j8c 46 99.00990099009901% 72.949 434.871
4jgi 211 100.0% 59.506 715.62
4jja 371 99.00990099009901% 76.29 1425.625
4jmu 112 100.0% 127.534 1094.173
4jnu 40 100.0% 43.197 316.530
4jo7 89 100.0% 48.725 431.480
4jqu 54 97.0873786407767% 48.17 342.99
4k2m 443 100.0% 107.122 2243.872
4kct 499 100.0% 133.499 2559.258
4ke2 196 100.0% 67.414 666.958
4kk7 395 99.00990099009901% 76.522 1448.106
4koq 180 99.00990099009901% 56.682 772.298
4ksn 78 100.0% 113.836 831.906
4lim 391 99.00990099009901% 85.945 1629.429
4ljo 223 99.00990099009901% 58.850 884.232
4lpq 207 99.00990099009901% 56.694 793.272
4lq4 211 100.0% 56.504 756.837
4lty 354 100.0% 79.434 1512.46
4lzh 285 100.0% 97.705 1445.612
4m0q 230 100.0% 64.258 1005.179
4m37 343 100.0% 68.900 1347.584
4m62 155 100.0% 80.275 919.286
4mb5 528 100.0% 167.717 3284.348
4mmj 95 98.0392156862745% 51.275 477.67
4mp8 339 98.0392156862745% 68.745 1335.739
4myy 85 99.00990099009901% 49.316 410.832
4mzv 248 100.0% 55.250 1001.156
4n67 227 100.0% 63.998 1020.366
4na5 522 100.0% 111.196 2324.102
4ndt 94 100.0% 50.978 416.342
4ngd 302 100.0% 66.14 1102.878
4npd 58 100.0% 45.827 338.819
4o66 76 100.0% 48.786 407.785
4o6g 174 100.0% 55.13 649.118
4o6q 184 100.0% 49.254 656.928
4o87 320 99.00990099009901% 89.572 1739.799
4obi 106 100.0% 53.213 480.892
4oe9 121 99.00990099009901% 50.719 508.557
4oie 185 98.0392156862745% 67.784 930.953
4oj6 776 99.00990099009901% 185.181 3373.508
4omf 281 100.0% 63.582 950.323
4oxw 119 99.00990099009901% 83.717 821.442
4p3x 305 100.0% 68.371 1254.858
4p5a 239 100.0% 78.632 1112.760
4p7x 292 99.00990099009901% 60.4 1149.734
4phr 277 99.00990099009901% 85.785 1248.757
4pz1 98 100.0% 115.502 1090.298
4q0y 134 99.00990099009901% 57.262 597.968
4q7o 146 100.0% 54.195 619.740
4qb0 103 99.00990099009901% 49.634 514.317
4qbu 444 99.00990099009901% 85.789 1974.90
4qmd 193 99.00990099009901% 67.45 791.89
4qn8 155 100.0% 69.337 770.276
4qtq 214 98.0392156862745% 58.659 804.675
4qx8 68 100.0% 43.305 356.432
4qxo 188 99.00990099009901% 52.693 693.298
4rgi 73 100.0% 49.317 382.728
4rnz 371 99.00990099009901% 105.963 2374.128
4rp5 98 100.0% 49.723 444.735
4rr9 136 100.0% 80.959 915.76
4rsw 255 99.00990099009901% 116.742 1565.463
4s39 406 100.0% 88.57 1634.793
4tkx 452 99.00990099009901% 86.42 1963.451
4tsh 121 100.0% 51.226 457.120
4u5h 90 100.0% 80.454 575.163
4u9b 187 100.0% 55.526 744.680
4ubp 570 100.0% 123.223 2498.100
4ue8 38 55.24861878453039% 78.784 756.770
4v1g 86 100.0% 54.528 396.623
4v23 256 98.0392156862745% 54.127 916.604
4v4e 875 100.0% 257.278 5719.842
4whe 150 100.0% 75.380 905.474
4wlr 102 100.0% 54.449 430.803
4wrp 122 100.0% 95.215 970.23
4wt3 213 100.0% 90.818 1146.972
4wyw 481 100.0% 95.360 2147.966
4wzg 218 99.00990099009901% 133.782 1568.424
4xb4 152 100.0% 95.657 1425.349
4xb5 326 99.00990099009901% 68.822 1149.951
4xb6 150 100.0% 72.770 692.442
4xb6 194 99.00990099009901% 55.434 734.818
4xb6 281 100.0% 63.344 952.556
4xdu 340 99.00990099009901% 66.831 1225.276
4xgl 379 99.00990099009901% 82.404 1817.71
4xo1 60 99.00990099009901% 44.168 366.606
4xpz 372 100.0% 68.864 1399.646
4xqm 94 100.0% 51.262 450.603
4y7s 111 100.0% 49.250 450.733
4y93 446 99.00990099009901% 168.810 4813.824
4yal 622 99.00990099009901% 134.125 3014.40
4ykd 96 100.0% 42.954 464.555
4ys0 824 99.00990099009901% 238.617 6369.431
4ytw 81 100.0% 75.659 539.418
4ywk 206 99.00990099009901% 56.612 815.673
4yxp 275 100.0% 66.987 1029.595
4z3x 653 98.0392156862745% 157.877 3131.480
4z8q 98 100.0% 63.649 568.39
4z9p 317 100.0% 67.242 1191.167
4za9 508 98.0392156862745% 97.428 2636.44
4zac 503 100.0% 107.875 2316.123
4zav 209 100.0% 55.778 759.130
4zds 134 100.0% 53.924 583.637
4zi3 133 100.0% 51.581 537.563
4zmk 71 100.0% 47.541 372.802
4zya 77 98.0392156862745% 47.708 402.249
5a0n 220 99.00990099009901% 54.304 836.875
5a5y 212 98.0392156862745% 53.717 835.837
5a67 212 100.0% 52.713 738.341
5b1n 69 100.0% 48.204 358.674
5b1q 459 99.00990099009901% 88.647 1866.56
5b3p 134 99.00990099009901% 51.835 572.855
5b5i 74 98.0392156862745% 47.646 392.905
5bnh 123 100.0% 53.498 534.0
5bs1 123 100.0% 52.467 504.632
5btz 139 100.0% 160.706 1398.182
5by8 85 100.0% 86.325 676.809
5c8q 154 100.0% 57.706 697.657
5ce9 339 100.0% 68.969 1443.382
5cfl 187 99.00990099009901% 55.423 742.260
5cof 173 100.0% 54.798 701.801
5cyz 105 99.00990099009901% 49.440 481.167
5dbl 132 100.0% 48.878 533.890
5dje 140 100.0% 83.793 909.927
5dmu 301 98.0392156862745% 81.403 1357.488
5dpo 119 100.0% 50.91 548.378
5e3e 104 100.0% 42.699 489.488
5e5y 63 100.0% 47.110 358.874
5e7x 155 100.0% 54.652 598.489
5ef9 174 100.0% 57.408 703.988
5eg7 161 100.0% 55.19 660.149
5el3 113 100.0% 52.972 489.862
5en2 141 100.0% 53.239 590.956
5eqz 146 100.0% 56.929 624.616
5erq 419 100.0% 80.419 1438.988
5ert 419 100.0% 80.534 1529.68
5exe 314 99.00990099009901% 105.854 1687.504
5exh 47 68.96551724137932% 69.926 555.479
5ezu 89 100.0% 49.859 415.46
5ftw 256 100.0% 73.366 1196.463
5g38 172 100.0% 66.230 742.358
5g68 363 100.0% 73.416 1604.874
5ggl 164 99.00990099009901% 66.276 821.263
5gof 422 99.00990099009901% 102.69 1857.731
5gv0 168 99.00990099009901% 48.504 637.329
5gw6 196 100.0% 56.79 822.675
5h1n 74 100.0% 53.931 413.912
5h2d 435 100.0% 117.786 2838.767
5h6x 100 100.0% 47.497 446.748
5h7w 529 100.0% 105.239 2247.194
5hee 262 99.00990099009901% 61.424 1051.211
5hkx 392 99.00990099009901% 74.654 2406.904
5hqh 109 100.0% 49.729 439.421
5hub 90 99.00990099009901% 51.512 427.644
5hz7 490 99.00990099009901% 101.684 1967.994
5i8j 64 100.0% 42.607 372.801
5iff 220 100.0% 69.216 1001.225
5ii7 138 99.00990099009901% 84.646 872.901
5ij2 201 99.00990099009901% 54.747 726.508
5imu 227 100.0% 58.232 804.260
5iqj 134 99.00990099009901% 74.288 761.256
5iz3 316 100.0% 65.733 1077.469
5j2l 81 100.0% 106.93 959.447
5j3t 242 99.00990099009901% 61.874 940.138
5j47 372 100.0% 126.177 2384.875
5j72 638 98.0392156862745% 163.314 3114.905
5ja5 209 100.0% 91.801 1253.986
5jak 151 99.00990099009901% 84.946 962.313
5jbg 680 98.0392156862745% 151.982 3790.840
5jca 284 99.00990099009901% 106.474 1777.692
5jx1 75 100.0% 50.502 386.57
5k6d 78 100.0% 48.137 387.40
5kdv 891 99.00990099009901% 254.231 4701.652
5kdw 885 99.00990099009901% 254.581 4134.946
5kko 55 94.33962264150944% 48.105 342.372
5klh 231 98.0392156862745% 71.851 995.691
5kts 304 100.0% 60.772 1121.108
5kvk 170 100.0% 57.782 651.257
5kwb 371 99.00990099009901% 73.620 1393.534
5l0s 357 99.00990099009901% 93.922 1904.368
5l87 69 100.0% 50.284 374.987
5lpa 270 100.0% 67.884 1026.226
5ltj 714 99.00990099009901% 180.276 3716.808
5m1m 155 99.00990099009901% 90.707 1031.992
5m45 717 99.00990099009901% 178.685 3680.8
5mdu 157 100.0% 132.655 1446.637
5mux 472 100.0% 86.534 1887.254
5muy 328 98.0392156862745% 78.392 1638.903
5n0n 410 99.00990099009901% 86.741 1561.9
5n0s 410 100.0% 79.814 1470.339
5n6y 113 100.0% 50.213 507.184
5naz 229 99.00990099009901% 77.985 1100.404
5ngd 417 100.0% 81.231 1535.50
5nir 74 100.0% 78.367 555.755
5njc 450 100.0% 211.874 2861.217
5njl 295 100.0% 66.236 950.855
5noh 103 100.0% 72.72 585.68
5o5s 131 100.0% 56.317 683.927
5o9e 201 100.0% 55.115 761.650
5oh5 283 99.00990099009901% 68.156 1179.966
5ok6 230 99.00990099009901% 64.966 1093.253
5ol4 100 100.0% 47.897 475.957
5op0 331 100.0% 68.599 1244.257
5opz 137 99.00990099009901% 50.567 567.151
5ori 583 98.0392156862745% 128.923 2758.962
5osw 583 99.00990099009901% 121.93 2482.145
5pal 109 100.0% 59.203 503.864
5t2p 155 100.0% 82.726 888.984
5t76 215 100.0% 57.843 782.92
5txr 491 100.0% 113.619 2304.664
5uc0 163 100.0% 77.129 775.137
5uki 351 99.00990099009901% 128.390 2371.533
5ul3 744 98.0392156862745% 170.334 3721.236
5um3 75 98.0392156862745% 48.492 418.524
5v03 102 99.00990099009901% 135.567 1226.619
5v0m 98 97.0873786407767% 57.449 495.967
5v7m 265 100.0% 61.920 967.587
5vap 112 100.0% 43.158 486.695
5vu3 170 100.0% 72.368 718.625
5vz0 1144 100.0% 399.491 6529.265
5w2f 206 100.0% 69.60 876.953
5w4a 216 100.0% 50.851 749.429
5w53 307 100.0% 65.261 1203.127
5w5c 40 53.76344086021505% 90.623 863.416
5w82 103 100.0% 55.538 460.368
5wfy 136 100.0% 49.635 624.761
5ws1 352 100.0% 62.942 1363.307
5wvo 250 99.00990099009901% 69.826 993.33
5wx9 131 100.0% 67.586 664.368
5x1e 148 99.00990099009901% 47.969 605.879
5x1e 111 98.0392156862745% 50.440 466.203
5x1u 208 100.0% 50.545 782.257
5xbc 118 98.0392156862745% 51.368 540.554
5xct 163 99.00990099009901% 53.574 684.645
5ydn 109 100.0% 50.765 455.487
5ygh 76 99.00990099009901% 43.865 373.461
5yrv 137 100.0% 53.14 544.386
5z1n 168 99.00990099009901% 63.22 814.638
5z42 102 100.0% 56.571 507.761
5z51 162 100.0% 54.729 638.662
5zlq 162 100.0% 72.830 784.22
5zmo 172 97.0873786407767% 50.144 722.672
5znj 567 99.00990099009901% 193.391 6130.567
6a02 185 100.0% 57.631 767.25
6a9a 246 99.00990099009901% 61.135 1010.453
6anz 146 100.0% 51.859 609.921
6ao8 580 100.0% 132.321 2923.581
6as3 106 100.0% 136.341 1057.76
6atg 214 100.0% 59.117 756.153
6avj 92 100.0% 45.419 420.714
6b1z 511 98.0392156862745% 101.181 2439.131
6bk4 124 98.0392156862745% 46.3 519.938
6bm5 333 96.15384615384616% 69.77 1379.294
6bn0 79 98.0392156862745% 82.811 601.344
6bwq 149 100.0% 55.383 592.523
6c0h 121 100.0% 55.705 522.949
6c62 68 100.0% 47.347 359.570
6cb7 122 99.00990099009901% 51.781 501.870
6cka 68 97.0873786407767% 46.206 419.252
6crk 71 100.0% 48.273 365.786
6d7y 96 100.0% 44.27 434.473
6d7y 155 98.0392156862745% 109.470 1266.35
6dgk 120 100.0% 45.620 496.179
6dlm 75 99.00990099009901% 52.654 411.89
6dnm 190 100.0% 59.712 739.119
6e33 61 100.0% 67.528 462.842
6e5y 448 100.0% 110.141 2286.829
6e7e 169 98.0392156862745% 117.818 1342.236
6eof 522 99.00990099009901% 109.469 1779.104
6eu8 196 100.0% 51.225 803.444
6f45 249 100.0% 60.302 870.973
6fc0 81 100.0% 51.219 388.7
